,date,close_price,code
0,2020-09-10,62400,A293490
1,2020-09-11,81100,A293490
2,2020-09-14,73800,A293490
3,2020-09-15,67500,A293490
4,2020-09-16,66300,A293490
5,2020-09-17,64600,A293490
6,2020-09-18,63400,A293490
7,2020-09-21,59500,A293490
8,2020-09-22,55800,A293490
9,2020-09-23,55800,A293490
10,2020-09-24,51200,A293490
11,2020-09-25,50200,A293490
12,2020-09-28,51200,A293490
13,2020-09-29,56200,A293490
14,2020-10-05,54200,A293490
15,2020-10-06,54300,A293490
16,2020-10-07,54500,A293490
17,2020-10-08,53000,A293490
18,2020-10-12,49100,A293490
19,2020-10-13,49150,A293490
20,2020-10-14,48250,A293490
21,2020-10-15,46300,A293490
22,2020-10-16,45850,A293490
23,2020-10-19,45050,A293490
24,2020-10-20,44750,A293490
25,2020-10-21,46650,A293490
26,2020-10-22,46500,A293490
27,2020-10-23,45500,A293490
28,2020-10-26,44100,A293490
29,2020-10-27,44050,A293490
30,2020-10-28,44650,A293490
31,2020-10-29,44600,A293490
32,2020-10-30,45150,A293490
33,2020-11-02,46250,A293490
34,2020-11-03,46950,A293490
35,2020-11-04,47000,A293490
36,2020-11-05,48950,A293490
37,2020-11-06,49150,A293490
38,2020-11-09,50000,A293490
39,2020-11-10,48900,A293490
40,2020-11-11,48350,A293490
41,2020-11-12,48650,A293490
42,2020-11-13,48150,A293490
43,2020-11-16,48600,A293490
44,2020-11-17,48000,A293490
45,2020-11-18,48250,A293490
46,2020-11-19,47950,A293490
47,2020-11-20,48250,A293490
48,2020-11-23,49050,A293490
49,2020-11-24,49100,A293490
50,2020-11-25,48450,A293490
51,2020-11-26,49050,A293490
52,2020-11-27,49650,A293490
53,2020-11-30,49450,A293490
54,2020-12-01,48900,A293490
55,2020-12-02,47950,A293490
56,2020-12-03,48150,A293490
57,2020-12-04,49900,A293490
58,2020-12-07,49200,A293490
59,2020-12-08,49150,A293490
60,2020-12-09,48950,A293490
61,2020-12-10,47300,A293490
62,2020-12-11,47500,A293490
63,2020-12-14,46950,A293490
64,2020-12-15,46200,A293490
65,2020-12-16,46350,A293490
66,2020-12-17,46450,A293490
67,2020-12-18,46350,A293490
68,2020-12-21,45900,A293490
69,2020-12-22,45050,A293490
70,2020-12-23,44900,A293490
71,2020-12-24,45250,A293490
72,2020-12-28,45500,A293490
73,2020-12-29,45450,A293490
74,2020-12-30,46000,A293490
75,2021-01-04,46000,A293490
76,2021-01-05,46600,A293490
77,2021-01-06,46050,A293490
78,2021-01-07,46150,A293490
79,2021-01-08,47000,A293490
80,2021-01-11,46700,A293490
81,2021-01-12,46200,A293490
82,2021-01-13,46700,A293490
83,2021-01-14,46650,A293490
84,2021-01-15,46150,A293490
85,2021-01-18,45400,A293490
86,2021-01-19,45650,A293490
87,2021-01-20,46350,A293490
88,2021-01-21,46650,A293490
89,2021-01-22,48050,A293490
90,2021-01-25,49650,A293490
91,2021-01-26,48800,A293490
92,2021-01-27,48750,A293490
93,2021-01-28,47800,A293490
94,2021-01-29,47300,A293490
95,2021-02-01,50800,A293490
96,2021-02-02,52700,A293490
97,2021-02-03,52700,A293490
98,2021-02-04,51000,A293490
99,2021-02-05,52400,A293490
100,2021-02-08,55300,A293490
101,2021-02-09,54100,A293490
102,2021-02-10,55400,A293490
103,2021-02-15,55700,A293490
104,2021-02-16,55500,A293490
105,2021-02-17,54700,A293490
106,2021-02-18,54100,A293490
107,2021-02-19,54900,A293490
108,2021-02-22,53200,A293490
109,2021-02-23,52400,A293490
110,2021-02-24,53700,A293490
111,2021-02-25,56100,A293490
112,2021-02-26,54000,A293490
113,2021-03-02,53000,A293490
114,2021-03-03,53000,A293490
115,2021-03-04,52200,A293490
116,2021-03-05,50900,A293490
117,2021-03-08,49900,A293490
118,2021-03-09,49400,A293490
119,2021-03-10,47950,A293490
