,date,A036570,A078340,A112040,A181710,A192080,A194480,A251270,A259960,A263750,A293490,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액,sma5,sma20,sma100,sma200
708,2021-06-28,823000,130200,26774,42879,59100,91800,130500,,61900,55100.0,1330.04,-5.5,-0.41,1338.11,1338.85,1323.75,2309.0,174619.0,44600000.0,1335.272,1360.829,1378.0766,1321.6686000000002
709,2021-06-29,822000,124600,27632,42931,59400,94500,133500,,74400,59700.0,1387.7,57.66,4.34,1343.97,1398.11,1342.35,13084.0,944148.0,46000000.0,1344.308,1362.1354999999999,1376.8473000000001,1321.8835000000001
710,2021-06-30,820000,123700,28592,43505,59600,91600,134000,,75700,57800.0,1380.88,-6.82,-0.49,1395.17,1399.09,1374.0,5791.0,440066.0,46000000.0,1353.196,1363.3985,1375.3448999999998,1322.1073999999999
711,2021-07-01,834000,122600,27936,43922,59400,90200,139500,,81600,57500.0,1408.23,27.35,1.98,1380.88,1429.29,1380.88,6738.0,598992.0,47100000.0,1368.478,1365.585,1374.2904999999998,1322.52575
712,2021-07-02,818000,123300,30259,42722,59600,89100,138500,,83400,71600.0,1492.02,83.79,5.95,1408.23,1507.35,1405.49,24124.0,1703004.0,47900000.0,1399.774,1372.348,1373.1837,1323.49305
713,2021-07-05,826000,126600,29805,42826,61200,90800,141000,,80700,76000.0,1526.73,34.71,2.33,1517.8,1582.1,1515.02,23662.0,1916081.0,48500000.0,1439.112,1380.171,1372.2395000000001,1324.5046000000002
714,2021-07-06,839000,126200,29451,42200,61200,88900,138000,,77100,76100.0,1515.16,-11.57,-0.76,1528.0,1542.02,1512.29,9319.0,796103.0,48200000.0,1464.604,1387.774,1371.8181,1325.536
715,2021-07-07,834000,126000,28592,42879,61000,87000,136000,,78200,75500.0,1505.34,-9.82,-0.65,1517.4,1524.01,1502.88,3202.0,330525.0,48000000.0,1489.496,1394.702,1371.2812,1326.54065
716,2021-07-08,834000,123700,28390,42200,60700,86200,135000,,79000,80300.0,1531.68,26.34,1.75,1515.69,1542.32,1513.95,4766.0,431856.0,48200000.0,1514.1860000000001,1401.934,1371.3252,1327.6433000000002
717,2021-07-09,800000,118200,27380,41522,60500,84400,133500,,80300,84500.0,1537.64,5.96,0.39,1525.98,1539.42,1503.27,4929.0,515645.0,47600000.0,1523.31,1409.7785,1371.0318,1328.78845
718,2021-07-12,772000,117200,27329,41887,61400,86700,135500,,79700,80000.0,1504.99,-32.65,-2.12,1540.5,1559.04,1494.94,7275.0,691990.0,46800000.0,1518.962,1415.0595,1371.0171,1329.86555
719,2021-07-13,777000,120200,28138,42722,61500,89000,136500,,78600,83100.0,1531.92,26.93,1.79,1506.32,1540.86,1503.19,7587.0,663535.0,47300000.0,1522.3139999999999,1422.635,1371.3483,1331.0363
720,2021-07-14,778000,118800,27986,42931,61300,94600,137000,,77700,81200.0,1518.82,-13.1,-0.86,1531.68,1539.32,1516.13,3717.0,357447.0,47100000.0,1525.01,1430.259,1371.8782999999999,1332.2082500000001
721,2021-07-15,804000,119800,29299,43296,61600,90600,138000,,78500,81200.0,1536.87,18.05,1.19,1519.65,1539.58,1516.33,5152.0,425228.0,48000000.0,1526.0480000000002,1439.187,1373.0564000000002,1333.6210500000002
722,2021-07-16,839000,119800,28794,43139,61400,88700,140000,,80200,86500.0,1590.86,53.99,3.51,1534.2,1606.63,1529.5,14687.0,1277977.0,49400000.0,1536.692,1450.1025,1374.8987,1335.3160999999998
723,2021-07-19,827000,118900,30865,42931,61000,88900,137500,,81400,84100.0,1568.31,-22.55,-1.42,1579.88,1587.97,1565.89,5816.0,467458.0,48900000.0,1549.3559999999998,1460.6755,1377.04,1337.0797499999999
724,2021-07-20,819000,117400,30411,41940,62300,85600,142500,,84400,83900.0,1580.51,12.2,0.78,1556.21,1594.09,1553.64,7711.0,600266.0,49300000.0,1559.0739999999998,1472.575,1378.9937,1338.90695
725,2021-07-21,809000,117600,30967,42148,62000,84700,141000,,78000,88400.0,1588.14,7.63,0.48,1598.2,1632.95,1582.72,12609.0,1114699.0,48800000.0,1572.9379999999999,1485.1599999999999,1381.5169999999998,1340.6639499999999
726,2021-07-22,794000,118800,30865,42670,61800,84700,140500,,79400,100200.0,1658.32,70.18,4.42,1597.21,1671.8,1592.82,17545.0,1720801.0,49400000.0,1597.2279999999998,1501.485,1384.7319999999997,1342.6998500000002
727,2021-07-23,812000,119900,30967,41992,63200,85700,143000,,79400,100400.0,1675.7,17.38,1.05,1670.89,1684.64,1650.91,8492.0,793953.0,50200000.0,1614.196,1518.493,1387.9237,1344.85635
728,2021-07-26,823000,118000,30714,41731,62400,86600,140000,,78800,95000.0,1635.31,-40.39,-2.41,1697.29,1718.37,1629.69,11206.0,940046.0,49700000.0,1627.596,1533.7565,1390.8559,1346.7969500000002
729,2021-07-27,806000,117800,30057,41835,62300,84500,138500,,79000,96500.0,1633.42,-1.89,-0.12,1646.79,1656.01,1631.4,5098.0,487849.0,49200000.0,1638.178,1546.0425,1394.0225999999998,1348.72125
730,2021-07-28,809000,116300,28996,40844,61400,82000,139500,,76900,94000.0,1612.57,-20.85,-1.28,1628.46,1647.12,1602.72,4450.0,411192.0,48900000.0,1643.0639999999999,1557.627,1397.1779999999999,1350.57775
731,2021-07-29,841000,116100,30057,40636,61800,83300,142500,,78400,93600.0,1634.08,21.51,1.33,1620.55,1642.78,1612.02,4350.0,469126.0,50000000.0,1638.216,1568.9195,1400.6753000000003,1352.5967500000002
732,2021-07-30,824000,113800,28542,40270,60900,82000,138500,,74000,89100.0,1576.17,-57.91,-3.54,1625.06,1626.85,1575.85,5280.0,490406.0,48500000.0,1618.31,1573.127,1403.7220000000002,1354.32105
733,2021-08-02,824000,113500,29148,39749,60900,81500,137000,,76100,86400.0,1557.95,-18.22,-1.16,1579.18,1581.17,1550.47,4214.0,392446.0,48200000.0,1602.8380000000002,1574.6879999999999,1406.4168000000002,1356.03355
734,2021-08-03,810000,110000,26218,39227,61900,80000,134500,,70900,83400.0,1510.0,-47.95,-3.08,1576.75,1586.08,1488.43,10401.0,861454.0,46900000.0,1578.154,1574.4299999999998,1408.4007000000001,1357.6971500000002
735,2021-08-04,812000,115500,26066,40062,63600,82300,137000,,70800,83400.0,1522.64,12.64,0.84,1512.07,1528.57,1493.37,5293.0,455753.0,47300000.0,1560.1680000000001,1575.2949999999998,1410.484,1359.44995
736,2021-08-05,817000,115700,26370,40270,63400,79800,136000,,72300,84200.0,1530.41,7.77,0.51,1533.02,1548.09,1527.39,4272.0,377918.0,47500000.0,1539.434,1575.2314999999999,1412.4515,1361.2654
737,2021-08-06,823000,115300,25915,40114,64200,78800,136500,,71500,82100.0,1519.1,-11.31,-0.74,1525.18,1529.43,1512.47,3087.0,283536.0,47500000.0,1528.02,1574.3045,1414.2912,1362.9249499999999
738,2021-08-09,822000,115600,25612,40270,62700,88200,135000,,70200,82600.0,1515.62,-3.48,-0.23,1511.79,1525.56,1506.5,3524.0,313702.0,47300000.0,1519.5539999999999,1574.8359999999998,1416.1035000000002,1364.5906999999997
739,2021-08-10,815000,113500,25864,39697,62600,81000,134500,454000.0,70300,83700.0,1515.36,-0.26,-0.02,1506.67,1518.48,1495.31,3013.0,257459.0,47100000.0,1520.626,1574.008,1417.8545000000001,1366.3439
740,2021-08-11,790000,111700,27632,38549,62900,81300,136500,407000.0,68600,80800.0,1489.0,-26.36,-1.74,1511.61,1519.49,1485.99,3498.0,359584.0,46300000.0,1513.898,1572.517,1419.2004000000002,1368.00545
741,2021-08-12,806000,110300,30865,37401,61900,72200,132000,406000.0,68100,78800.0,1469.85,-19.15,-1.29,1477.64,1492.5,1459.53,5385.0,511922.0,46100000.0,1501.786,1569.166,1420.3401,1369.6576
742,2021-08-13,786000,105800,31825,36880,61900,72000,127000,437000.0,63600,77200.0,1427.69,-42.16,-2.87,1454.36,1456.4,1411.55,11755.0,935129.0,44700000.0,1483.504,1561.0075000000002,1420.9868,1371.0929
743,2021-08-17,771000,101000,38140,35836,58600,66800,125000,451500.0,61800,77100.0,1412.41,-15.28,-1.07,1419.59,1430.93,1406.27,6248.0,517586.0,44100000.0,1462.8619999999999,1553.2125,1421.5564,1372.3307499999999
744,2021-08-18,788000,102500,38493,36619,58700,67600,129500,469000.0,62700,77800.0,1439.9,27.49,1.95,1412.38,1449.16,1408.59,4810.0,433976.0,45100000.0,1447.77,1546.182,1422.3520999999998,1373.68885
745,2021-08-19,853000,100900,36927,35993,56500,67500,126500,492500.0,67500,76100.0,1447.82,7.92,0.55,1437.28,1474.91,1430.92,6276.0,810972.0,46300000.0,1439.534,1539.166,1423.576,1375.3392000000001
746,2021-08-20,826000,98800,37079,34950,56200,66000,125000,491500.0,71000,77600.0,1445.58,-2.24,-0.15,1458.81,1482.26,1434.91,5387.0,564081.0,45800000.0,1434.6799999999998,1528.529,1424.491,1376.87325
747,2021-08-23,824000,101400,38190,35836,56500,67500,129000,484500.0,72400,75300.0,1448.06,2.48,0.17,1463.69,1463.69,1437.92,3483.0,335091.0,46100000.0,1438.7540000000001,1517.1470000000002,1425.3080000000002,1378.3808000000001
748,2021-08-24,847000,103100,37736,36306,58400,72600,132000,460000.0,72700,75900.0,1472.54,24.48,1.69,1457.23,1475.69,1449.07,2620.0,307349.0,47100000.0,1450.7800000000002,1509.0085,1426.4746,1379.8754500000002
749,2021-08-25,837000,104100,37180,36410,58500,70000,136500,451000.0,70000,76800.0,1482.16,9.62,0.65,1478.78,1485.12,1464.46,3028.0,327476.0,47100000.0,1459.232,1501.4455,1427.6369,1381.3557499999997
750,2021-08-26,709000,103400,35867,36515,60400,70800,127000,469500.0,87900,85400.0,1496.83,14.67,0.99,1471.33,1508.85,1452.95,23237.0,2617948.0,45300000.0,1469.034,1495.6585,1428.8684,1382.9548000000002
751,2021-08-27,659000,103300,32027,36567,62700,73800,127500,497000.0,89000,80900.0,1451.56,-45.27,-3.02,1495.88,1506.43,1444.32,18158.0,2166347.0,43900000.0,1470.23,1486.5325,1429.6392999999998,1384.2451
752,2021-08-30,649000,103100,41625,36932,62500,78100,125000,497000.0,102000,82000.0,1482.02,30.46,2.1,1455.13,1484.74,1451.72,18395.0,2042736.0,44800000.0,1477.022,1481.825,1430.7075,1385.8599000000002
753,2021-08-31,660000,103200,47839,36828,63300,78000,129000,491500.0,94300,81200.0,1483.84,1.82,0.12,1463.91,1487.36,1449.03,13031.0,1495434.0,45000000.0,1479.282,1478.1195,1431.6333,1387.4635999999998
754,2021-09-01,637000,103800,54406,37088,61700,81100,127500,507000.0,89500,79900.0,1461.84,-22.0,-1.48,1469.05,1478.72,1457.42,10282.0,1201570.0,44100000.0,1475.218,1475.7115,1432.0284,1388.9528
755,2021-09-02,633000,103900,54507,37036,61500,84800,126000,491500.0,87500,79700.0,1451.72,-10.12,-0.69,1466.28,1482.52,1451.32,5977.0,708579.0,43800000.0,1466.196,1472.1655,1432.1334,1390.3632499999999
756,2021-09-03,622000,103300,66581,36828,59600,80400,126000,509000.0,88400,80500.0,1465.12,13.4,0.92,1457.22,1467.85,1449.95,6852.0,877367.0,44000000.0,1468.908,1468.901,1432.3569999999997,1391.8568
757,2021-09-06,633000,103900,64914,36932,59500,89700,126000,482500.0,85800,77800.0,1446.55,-18.57,-1.27,1462.63,1465.47,1439.89,4888.0,629185.0,43800000.0,1461.8139999999999,1465.2734999999998,1432.3512,1393.2667000000001
758,2021-09-07,616000,103200,64156,36515,59600,91400,125000,464500.0,84100,77200.0,1428.45,-18.1,-1.25,1451.95,1455.44,1419.57,3944.0,568678.0,43100000.0,1450.7359999999999,1460.915,1432.0767999999998,1394.474
759,2021-09-08,612000,101500,55568,36619,58500,84500,125000,483500.0,83000,74300.0,1396.57,-31.88,-2.23,1425.09,1431.99,1396.57,4627.0,594125.0,42400000.0,1437.682,1454.9755,1431.3634,1395.4860999999999
760,2021-09-09,611000,100100,61529,35680,57500,90900,122500,475000.0,84300,72900.0,1385.19,-11.38,-0.81,1392.12,1402.22,1374.6,5579.0,707868.0,42200000.0,1424.376,1449.785,1430.6672999999998,1396.39315
761,2021-09-10,607000,101100,58700,35576,58000,88500,122500,447000.0,81800,73800.0,1362.41,-22.78,-1.64,1375.94,1376.71,1349.5,7260.0,871012.0,62400000.0,1403.834,1444.413,1429.731,1397.1705499999998
762,2021-09-13,591000,99900,59000,35471,58300,115000,121500,451500.0,80900,71800.0,1356.56,-5.85,-0.43,1371.03,1376.08,1351.18,4335.0,595654.0,62200000.0,1385.836,1440.8564999999999,1429.0251999999998,1397.9935500000001
763,2021-09-14,599000,102100,74400,35732,59000,119500,124000,478000.0,82900,72400.0,1394.19,37.63,2.77,1359.82,1399.96,1359.39,7391.0,850224.0,64200000.0,1378.984,1439.9455,1428.8652,1399.0848
764,2021-09-15,596000,101500,74900,35889,59800,123000,124000,493500.0,84300,72400.0,1405.9,11.71,0.84,1389.44,1417.02,1382.34,3191.0,478079.0,65000000.0,1380.8500000000001,1438.2455,1428.7960999999998,1400.15815
765,2021-09-16,589000,100500,80000,35471,61300,132400,122000,492000.0,82000,71300.0,1393.4,-12.5,-0.89,1409.59,1412.85,1390.05,3668.0,505566.0,64500000.0,1382.492,1435.5245,1428.6301999999998,1401.16325
766,2021-09-17,587000,102700,85800,37506,60600,156500,122000,493500.0,82400,72200.0,1403.57,10.17,0.73,1392.89,1405.08,1385.63,5779.0,840578.0,65000000.0,1390.7240000000002,1433.424,1428.7641,1402.2875
767,2021-09-23,584000,99800,78400,36567,62000,177200,121000,500000.0,82200,68900.0,1403.07,-0.5,-0.04,1392.4,1415.19,1385.37,3725.0,579658.0,65000000.0,1400.026,1431.1744999999999,1429.2335,1403.30375
768,2021-09-24,596000,100500,76500,35889,62500,162700,120000,493000.0,87400,68300.0,1404.06,0.99,0.07,1403.04,1410.7,1392.39,4175.0,533128.0,65000000.0,1402.0,1427.7505,1429.7460999999998,1404.3069500000001
769,2021-09-27,583000,100400,67400,37088,62900,186000,119000,498000.0,82200,68800.0,1399.46,-4.6,-0.33,1408.01,1413.26,1397.19,2888.0,427671.0,64900000.0,1400.712,1423.6155,1430.4872999999998,1404.9084999999998
770,2021-09-28,571000,97200,68900,36358,63300,182200,116000,500000.0,84000,67800.0,1382.53,-16.93,-1.21,1394.68,1401.74,1376.17,3331.0,510678.0,64400000.0,1398.538,1417.9005,1431.4316000000001,1405.5257000000001
771,2021-09-29,574000,95700,72600,36410,62400,172400,114500,500000.0,80700,66900.0,1370.55,-11.98,-0.87,1364.97,1376.93,1345.73,2836.0,437638.0,63900000.0,1391.934,1413.85,1432.1575,1406.05245
772,2021-09-30,603000,98800,70000,36619,63000,156900,118000,502000.0,80400,65700.0,1393.19,22.64,1.65,1371.05,1402.23,1368.07,3257.0,726631.0,64700000.0,1389.958,1409.4085,1433.1805000000002,1406.6730499999999
773,2021-10-01,595000,95800,81800,36410,60900,161300,115000,498000.0,85300,64800.0,1380.46,-12.73,-0.91,1386.72,1394.03,1374.26,4504.0,598255.0,64200000.0,1385.238,1404.2395000000001,1433.8162,1407.2527000000002
774,2021-10-05,563000,95300,96000,35419,60100,181200,114000,463000.0,85900,63300.0,1336.56,-43.9,-3.18,1365.31,1369.94,1331.22,4215.0,631300.0,61800000.0,1372.658,1397.9755,1433.645,1407.5527499999998
775,2021-10-06,560000,96200,94500,35211,59600,187000,116500,454000.0,85400,62600.0,1335.46,-1.1,-0.08,1350.87,1360.31,1327.87,3748.0,524408.0,61500000.0,1363.2440000000001,1392.1625,1433.7613999999999,1407.8069499999997
776,2021-10-07,571000,101900,98800,35628,62300,187500,121000,474000.0,90700,67300.0,1386.66,51.2,3.83,1354.52,1393.3,1353.12,4248.0,529382.0,64000000.0,1366.466,1388.2395000000001,1434.6382,1408.2272500000001
777,2021-10-08,578000,97700,97900,35836,62300,187400,121500,470000.0,88000,65300.0,1381.39,-5.27,-0.38,1387.21,1390.13,1371.97,2614.0,338519.0,63600000.0,1364.106,1384.9815,1435.5046000000002,1408.6876000000002
778,2021-10-12,558000,95600,90500,35263,61500,156000,119000,484000.0,89800,65400.0,1365.17,-16.22,-1.17,1376.35,1378.09,1349.51,2920.0,440247.0,63400000.0,1361.048,1381.8175,1436.2899,1408.91605
779,2021-10-13,576000,96300,90700,36045,61500,136400,120000,488000.0,92700,65500.0,1379.68,14.51,1.06,1369.13,1402.51,1368.2,3849.0,525311.0,64000000.0,1369.672,1380.9730000000002,1437.1569,1409.21275
780,2021-10-14,582000,100000,117200,36880,64500,139300,122500,478500.0,94800,68900.0,1395.24,15.56,1.13,1385.81,1395.49,1379.0,3407.0,445163.0,64500000.0,1381.6280000000002,1381.4755,1437.9717,1409.6282499999998
781,2021-10-15,607000,101000,120300,37714,65200,136500,121500,472500.0,94000,67500.0,1399.68,4.44,0.32,1392.96,1406.0,1384.99,3179.0,497460.0,64500000.0,1384.232,1383.339,1438.8315,1410.1064
782,2021-10-18,596000,111500,126000,38027,65800,124200,120500,486000.0,90900,71100.0,1402.84,3.16,0.23,1401.65,1416.89,1386.65,5292.0,626344.0,65000000.0,1388.5220000000002,1385.653,1439.6215,1410.7546
783,2021-10-19,629000,113500,138500,38027,65800,124400,127500,493500.0,97800,72200.0,1458.15,55.31,3.94,1415.89,1460.13,1415.32,4854.0,682045.0,67200000.0,1407.118,1388.851,1440.9619999999998,1411.55125
784,2021-10-20,624000,116900,130100,37975,64700,117500,126000,487000.0,95800,71000.0,1440.45,-17.7,-1.21,1459.35,1476.58,1439.07,4770.0,669273.0,66400000.0,1419.2720000000002,1390.5785,1442.02,1412.1678
785,2021-10-21,619000,123400,141400,38393,73400,119400,126000,493000.0,107500,72400.0,1466.16,25.71,1.78,1441.63,1474.26,1441.63,8428.0,901821.0,67800000.0,1433.4560000000001,1394.2165,1443.2966000000001,1412.817
786,2021-10-22,628000,124000,136500,38914,66600,118900,129000,488000.0,107000,75800.0,1478.34,12.18,0.83,1470.37,1498.7,1468.77,12418.0,1153663.0,68100000.0,1449.188,1397.955,1444.7375,1413.52145
787,2021-10-25,622000,119600,139900,38862,64200,118900,127000,488000.0,108300,73700.0,1465.76,-12.58,-0.85,1487.92,1492.14,1457.33,5549.0,761442.0,67600000.0,1461.772,1401.0895,1446.0057000000002,1414.1566500000001
788,2021-10-26,627000,129800,161000,38758,64700,126800,128500,498000.0,110400,75200.0,1490.86,25.1,1.71,1475.88,1502.87,1472.06,6322.0,770299.0,68800000.0,1468.3139999999999,1405.4295,1447.3547999999998,1414.8953
789,2021-10-27,639000,133600,168700,38497,65900,131000,129000,489500.0,114800,80100.0,1508.75,17.89,1.2,1494.37,1513.73,1481.41,6799.0,768556.0,69500000.0,1481.9739999999997,1410.894,1448.8266,1415.66965
790,2021-10-28,621000,125700,160100,38236,64100,129300,123500,475000.0,105000,78700.0,1453.51,-55.24,-3.66,1505.47,1511.17,1453.42,6802.0,794955.0,67000000.0,1479.444,1414.443,1449.8055000000002,1416.2673499999999
791,2021-10-29,627000,128500,182800,41731,64200,119800,123500,469500.0,103900,79800.0,1453.8,0.29,0.02,1459.41,1472.84,1445.63,5996.0,663354.0,66900000.0,1474.5359999999998,1418.6055000000001,1450.6985,1416.8687
792,2021-11-01,648000,131500,183500,43452,65200,118800,127000,478000.0,109200,87900.0,1503.64,49.84,3.43,1460.03,1509.45,1459.3,13246.0,1358410.0,69200000.0,1482.112,1424.1280000000002,1452.1673,1417.5222
793,2021-11-02,643000,130400,183400,43035,67800,117600,126500,483500.0,106200,86400.0,1497.29,-6.35,-0.42,1506.09,1511.87,1494.38,7565.0,835213.0,69000000.0,1483.3980000000001,1429.9695,1453.4375,1418.2163999999998
794,2021-11-03,657000,129800,190000,42148,66300,114400,125500,472000.0,105000,89000.0,1493.57,-3.72,-0.25,1492.6,1508.45,1486.72,7466.0,995345.0,68700000.0,1480.3619999999999,1437.82,1454.7422,1418.89535
795,2021-11-04,595000,122600,167100,40270,66800,109800,124000,468000.0,103200,91200.0,1446.31,-47.26,-3.16,1482.04,1484.11,1428.7,14922.0,2135936.0,66800000.0,1478.922,1443.3625,1455.5375,1419.3220499999998
796,2021-11-05,624000,125000,165100,40218,66000,112800,123000,451000.0,110200,97900.0,1467.45,21.14,1.46,1456.46,1471.85,1438.73,9730.0,1407935.0,67500000.0,1481.652,1447.402,1456.3416,1419.83995
797,2021-11-08,629000,133700,183000,40844,66700,117500,125000,441500.0,114100,99200.0,1481.11,13.66,0.93,1469.38,1489.74,1449.16,10144.0,1452791.0,67900000.0,1477.146,1452.3880000000001,1457.3452,1420.4932499999998
798,2021-11-09,627000,150700,189500,45852,69400,131100,131500,465500.0,114300,98500.0,1529.85,48.74,3.29,1480.0,1531.37,1479.64,10310.0,1359764.0,70200000.0,1483.658,1460.6219999999998,1458.65,1421.42165
799,2021-11-10,605000,169300,181000,48617,68600,144600,131000,484500.0,114900,91400.0,1531.66,1.81,0.12,1530.52,1548.99,1521.33,16925.0,2494202.0,70500000.0,1491.276,1468.221,1460.1625,1422.3418
800,2021-11-11,786000,168700,180400,48721,72800,144300,135000,540000.0,121800,93000.0,1702.49,170.83,11.15,1520.4,1723.22,1517.97,28390.0,5797240.0,78400000.0,1542.512,1483.5835000000002,1463.524,1424.04145
801,2021-11-12,715000,173900,188900,49295,67900,152000,132500,547000.0,120000,96900.0,1666.89,-35.6,-2.09,1703.73,1703.92,1614.39,16427.0,3106926.0,77200000.0,1582.4,1496.944,1466.6098000000002,1425.6024
802,2021-11-15,660000,172800,190400,47469,68100,148700,131500,548000.0,123500,97200.0,1635.8,-31.09,-1.87,1658.72,1697.77,1625.43,7831.0,1768092.0,76100000.0,1613.3380000000002,1508.592,1469.2423,1426.8138499999998
803,2021-11-16,705000,176100,206400,51851,68000,140100,135000,547000.0,138500,108700.0,1707.86,72.06,4.41,1645.87,1712.13,1645.87,20601.0,3089733.0,79300000.0,1648.9399999999998,1521.0774999999999,1472.7524000000003,1428.2586500000002
804,2021-11-17,725000,176400,206400,51590,64900,141300,132000,567000.0,141000,107900.0,1727.7,19.84,1.16,1730.79,1759.56,1712.1,14037.0,2182606.0,80600000.0,1688.148,1535.44,1476.6041999999998,1429.9061
805,2021-11-18,760000,176700,226500,51642,66000,140000,134000,543000.0,140200,108600.0,1735.33,7.63,0.44,1735.19,1749.28,1677.47,9751.0,1705554.0,80300000.0,1694.716,1548.8984999999998,1480.5931,1431.2557000000002
806,2021-11-19,750000,168500,237000,49399,64200,130600,126500,542000.0,135000,107500.0,1689.39,-45.94,-2.65,1718.33,1732.63,1688.37,8866.0,1285826.0,78600000.0,1699.216,1559.4509999999998,1484.1687999999997,1432.3862
807,2021-11-22,748000,160000,236800,48564,61800,111000,124000,516000.0,131200,97000.0,1629.54,-59.85,-3.54,1657.52,1668.03,1587.06,11449.0,1574610.0,75500000.0,1697.964,1567.6399999999999,1487.1088,1433.3596499999999
808,2021-11-23,708000,147500,198700,48721,60300,108800,123000,505000.0,127900,96400.0,1584.7,-44.84,-2.75,1599.78,1635.39,1575.14,6700.0,1039528.0,73500000.0,1673.3319999999999,1572.3319999999999,1489.6554,1433.866
809,2021-11-24,710000,153600,201500,47730,59600,111200,122000,509000.0,131700,96300.0,1592.32,7.62,0.48,1583.2,1603.83,1550.02,6441.0,933097.0,73900000.0,1646.256,1576.5104999999999,1491.7015999999996,1434.2744500000001
810,2021-11-25,700000,154700,186700,47208,59500,111900,123000,504000.0,129400,101100.0,1589.84,-2.48,-0.16,1598.55,1634.16,1589.11,7172.0,1074703.0,73800000.0,1617.158,1583.327,1493.7912000000003,1434.5680500000003
811,2021-11-26,695000,160800,192000,46687,58500,107000,120000,506000.0,133000,102400.0,1585.98,-3.86,-0.24,1598.38,1620.51,1573.65,7082.0,1074817.0,73800000.0,1596.4759999999999,1589.9360000000001,1495.5687,1434.9296
812,2021-11-29,689000,152600,203200,46165,57400,103300,120000,510000.0,133200,102800.0,1580.95,-5.03,-0.32,1559.76,1622.71,1559.67,6411.0,997790.0,73700000.0,1586.758,1593.8015,1496.458,1434.8208500000003
813,2021-11-30,681000,155200,197000,47156,55700,100600,117000,503000.0,131700,98600.0,1555.21,-25.74,-1.63,1598.7,1626.19,1533.57,14703.0,2770975.0,72500000.0,1580.8600000000001,1596.6975,1496.7428,1434.4911499999998
814,2021-12-01,701000,155700,184900,46687,56700,97600,118000,489000.0,127700,96700.0,1550.75,-4.46,-0.29,1571.87,1584.69,1523.5,5462.0,903265.0,71900000.0,1572.546,1599.5565000000001,1497.0987,1434.4584
815,2021-12-02,690000,143000,168700,45330,57000,94100,118000,502000.0,115800,91500.0,1525.27,-25.48,-1.64,1535.71,1544.78,1495.91,6073.0,853178.0,70900000.0,1559.632,1603.5045,1497.2979999999998,1434.2895999999998
816,2021-12-03,728000,148200,179900,46895,62300,100500,121000,500000.0,122000,95200.0,1574.41,49.14,3.22,1531.98,1586.42,1527.69,5069.0,811752.0,72900000.0,1557.318,1608.8525,1497.7253,1434.52525
817,2021-12-06,712000,136600,161500,44913,59000,95000,118500,472500.0,119000,90200.0,1518.78,-55.63,-3.53,1559.35,1562.67,1517.55,3927.0,600312.0,70100000.0,1544.884,1610.7359999999999,1497.5366999999999,1434.28425
818,2021-12-07,717000,136600,156000,44026,58600,95200,120000,465000.0,118100,90100.0,1517.89,-0.89,-0.06,1531.72,1546.24,1501.24,3828.0,630912.0,69900000.0,1537.42,1610.1380000000001,1497.6657,1434.3414000000002
819,2021-12-08,732000,145700,170100,46008,58500,95400,119000,464500.0,122600,94600.0,1540.12,22.23,1.46,1538.21,1562.32,1535.69,5270.0,808859.0,70900000.0,1535.2939999999999,1610.5610000000001,1497.7477,1434.5480000000002
820,2021-12-09,737000,147000,177800,50703,59200,100400,121500,479000.0,131200,94700.0,1578.59,38.47,2.5,1561.72,1583.36,1556.39,5386.0,807927.0,72800000.0,1545.958,1604.366,1498.3454000000002,1435.11185
821,2021-12-10,727000,147500,171100,50338,58800,97400,121000,489500.0,124800,91000.0,1565.31,-13.28,-0.84,1567.7,1579.19,1557.35,4413.0,614805.0,72600000.0,1544.138,1599.2869999999998,1498.6297999999997,1435.8431
822,2021-12-13,714000,140000,156400,49451,57500,92500,119000,489500.0,123500,90200.0,1543.47,-21.84,-1.4,1562.7,1566.56,1541.92,3326.0,491303.0,71800000.0,1549.0759999999998,1594.6705,1498.1559,1436.5273000000002
823,2021-12-14,697000,140200,158700,48147,56800,91000,119500,493000.0,119600,89000.0,1529.38,-14.09,-0.91,1535.39,1550.8,1516.28,2894.0,461929.0,71200000.0,1551.3740000000003,1585.7465,1497.7666,1437.4033000000002
824,2021-12-15,673000,144500,157700,46791,56900,88500,118000,485000.0,119800,88900.0,1505.05,-24.33,-1.59,1525.16,1533.69,1495.57,2729.0,464540.0,70100000.0,1544.36,1574.614,1497.0119999999997,1438.00285
825,2021-12-16,680000,148000,163400,46426,57000,90300,119000,484000.0,124100,88600.0,1518.02,12.97,0.86,1517.95,1529.13,1508.56,3228.0,519460.0,70600000.0,1532.246,1563.7485000000001,1496.3108000000002,1438.9139000000002
826,2021-12-17,670000,153700,161200,49086,56700,91500,118000,494500.0,120100,86700.0,1513.35,-4.67,-0.31,1511.18,1525.32,1503.52,5052.0,1168780.0,70600000.0,1521.8539999999998,1554.9465,1494.8611,1439.79655
827,2021-12-20,655000,151600,160400,47938,55900,89500,121500,471000.0,123600,85900.0,1498.21,-15.14,-1.0,1510.01,1515.13,1490.75,2600.0,414355.0,69400000.0,1512.802,1548.3799999999999,1493.0862,1440.50495
828,2021-12-21,663000,158100,170900,47938,56400,91100,119500,466500.0,126000,88300.0,1503.71,5.5,0.37,1505.57,1511.67,1480.67,2570.0,372595.0,69700000.0,1507.668,1544.3305,1491.7702,1441.31305
