date,A036570,A078340,A112040,A181710,A192080,A194480,A251270,A259960,A263750,A293490,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2018-08-10,361000,142000,18918,34011,64700,14500,127000,,47520,,931.54,13.18,1.44,,,,,,
2018-08-13,356000,137600,15711,32602,64400,14350,122500,,47380,,909.24,-22.3,-2.39,,,,,,
2018-08-14,385000,143300,15736,32081,67200,14350,123500,,49280,,944.79,35.55,3.91,,,,,,
2018-08-16,370500,142700,16115,31716,66400,14300,116000,,47560,,913.26,-31.53,-3.34,,,,,,
2018-08-17,371500,142100,16039,32081,66400,14300,119000,,48100,,922.3,9.04,0.99,,,,,,
2018-08-20,367500,142500,16039,31924,67100,14600,117000,,47140,,911.17,-11.13,-1.21,,,,,,
2018-08-21,375000,151100,16494,31768,66200,15000,123500,,48840,,941.77,30.6,3.36,,,,,,
2018-08-22,371000,146800,16190,31403,67300,14800,120000,,49000,,930.96,-10.81,-1.15,,,,,,
2018-08-23,385500,150000,16367,31507,67800,15000,122500,,49740,,951.73,20.77,2.23,,,,,,
2018-08-24,391000,153700,16216,32133,68400,15000,123500,,49740,,960.5,8.77,0.92,,,,,,
2018-08-27,390000,154800,16847,32498,69700,15250,122500,,50800,,966.14,5.64,0.59,,,,,,
2018-08-28,393500,149100,16468,32185,68300,14200,118500,,50600,,955.76,-10.38,-1.07,,,,,,
2018-08-29,395500,147300,16342,31924,68800,16000,120500,,51400,,963.94,8.18,0.86,,,,,,
2018-08-30,398000,146500,16418,31924,68900,15700,120000,,50980,,962.19,-1.75,-0.18,,,,,,
2018-08-31,387500,155900,15988,31455,69700,15100,116500,,51000,,954.02,-8.17,-0.85,,,,,,
2018-09-03,385500,156000,15079,31403,68300,13500,116500,,48000,,936.26,-17.76,-1.86,,,,,,
2018-09-04,406000,159000,15231,31455,67200,13750,119000,,47280,,951.83,15.57,1.66,,,,,,
2018-09-05,394000,152500,14902,31142,67100,13150,116000,,46020,,928.87,-22.96,-2.41,,,,,,
2018-09-06,399500,151000,14574,30933,67400,13100,114000,,46660,,929.16,0.29,0.03,,,,,,
2018-09-07,414500,148100,14574,31037,66400,12900,113000,,48560,,942.09,12.93,1.39,,,,,,
2018-09-10,423500,150800,14094,31559,66600,12650,113500,,49440,,953.88,11.79,1.25,,,,,,
2018-09-11,425000,153300,14650,31507,66300,12500,112500,,49360,,955.73,1.85,0.19,,,,,,
2018-09-12,423500,153500,14751,31559,66400,12500,115000,,47900,,951.92,-3.81,-0.4,,,,,,
2018-09-13,435000,150600,14751,31924,65900,12800,117000,,46380,,955.28,3.36,0.35,,,,,,
2018-09-14,432500,144300,14827,31976,65800,12350,116000,,44100,,937.44,-17.84,-1.87,,,,,,
2018-09-17,430000,145900,14827,32133,65300,11550,113500,,44400,,933.41,-4.03,-0.43,,,,,,
2018-09-18,432500,144800,14700,32029,69200,11550,111000,,44240,,929.8,-3.61,-0.39,,,,,,
2018-09-19,441000,150300,14599,31924,70600,11550,112000,,43860,,939.96,10.16,1.09,,,,,,
2018-09-20,444500,151800,14650,31924,69800,11450,117500,,43820,,951.67,11.71,1.25,,,,,,
2018-09-21,449000,154900,15509,31663,71000,11850,119000,,44680,,964.86,13.19,1.39,,,,,,
2018-09-27,438000,146400,15130,31559,68800,12000,118500,,43560,,945.85,-19.01,-1.97,,,,,,
2018-09-28,442500,146600,15660,31924,69000,11500,115000,,42760,,938.33,-7.52,-0.8,,,,,,
2018-10-01,455000,145600,15130,31611,68600,11350,116500,,42800,,945.99,7.66,0.82,,,,,,
2018-10-02,423500,151600,14523,31298,69000,11400,121000,,42800,,937.53,-8.46,-0.89,,,,,,
2018-10-04,433000,149100,14498,30411,70900,11600,119500,,42600,,936.18,-1.35,-0.14,,,,,,
2018-10-05,417000,148500,14624,30829,71200,11100,117500,,42580,,921.91,-14.27,-1.52,,,,,,
2018-10-08,420500,148300,14170,30829,69500,11100,122500,,43900,,938.4,16.49,1.79,,,,,,
2018-10-10,420000,142600,13185,29994,69200,10550,126000,,41820,,927.95,-10.45,-1.11,,,,,,
2018-10-11,404500,138100,12478,28325,65800,9990,126000,,39480,,897.88,-30.07,-3.24,,,,,,
