,date,close_price,code
0,2018-08-10,64700,A192080
1,2018-08-13,64400,A192080
2,2018-08-14,67200,A192080
3,2018-08-16,66400,A192080
4,2018-08-17,66400,A192080
5,2018-08-20,67100,A192080
6,2018-08-21,66200,A192080
7,2018-08-22,67300,A192080
8,2018-08-23,67800,A192080
9,2018-08-24,68400,A192080
10,2018-08-27,69700,A192080
11,2018-08-28,68300,A192080
12,2018-08-29,68800,A192080
13,2018-08-30,68900,A192080
14,2018-08-31,69700,A192080
15,2018-09-03,68300,A192080
16,2018-09-04,67200,A192080
17,2018-09-05,67100,A192080
18,2018-09-06,67400,A192080
19,2018-09-07,66400,A192080
20,2018-09-10,66600,A192080
21,2018-09-11,66300,A192080
22,2018-09-12,66400,A192080
23,2018-09-13,65900,A192080
24,2018-09-14,65800,A192080
25,2018-09-17,65300,A192080
26,2018-09-18,69200,A192080
27,2018-09-19,70600,A192080
28,2018-09-20,69800,A192080
29,2018-09-21,71000,A192080
30,2018-09-27,68800,A192080
31,2018-09-28,69000,A192080
32,2018-10-01,68600,A192080
33,2018-10-02,69000,A192080
34,2018-10-04,70900,A192080
35,2018-10-05,71200,A192080
36,2018-10-08,69500,A192080
37,2018-10-10,69200,A192080
38,2018-10-11,65800,A192080
39,2018-10-12,69600,A192080
40,2018-10-15,68500,A192080
41,2018-10-16,70500,A192080
42,2018-10-17,70800,A192080
43,2018-10-18,72800,A192080
44,2018-10-19,73500,A192080
45,2018-10-22,72700,A192080
46,2018-10-23,72500,A192080
47,2018-10-24,69100,A192080
48,2018-10-25,69800,A192080
49,2018-10-26,67700,A192080
50,2018-10-29,66400,A192080
51,2018-10-30,64000,A192080
52,2018-10-31,65200,A192080
53,2018-11-01,65200,A192080
54,2018-11-02,67200,A192080
55,2018-11-05,66800,A192080
56,2018-11-06,69000,A192080
57,2018-11-07,67200,A192080
58,2018-11-08,64700,A192080
59,2018-11-09,63600,A192080
60,2018-11-12,61400,A192080
61,2018-11-13,61400,A192080
62,2018-11-14,61000,A192080
63,2018-11-15,61300,A192080
64,2018-11-16,61200,A192080
65,2018-11-19,60400,A192080
66,2018-11-20,60200,A192080
67,2018-11-21,61200,A192080
68,2018-11-22,59700,A192080
69,2018-11-23,59700,A192080
70,2018-11-26,59700,A192080
71,2018-11-27,62600,A192080
72,2018-11-28,62400,A192080
73,2018-11-29,61700,A192080
74,2018-11-30,60900,A192080
75,2018-12-03,62000,A192080
76,2018-12-04,61100,A192080
77,2018-12-05,60600,A192080
78,2018-12-06,60000,A192080
79,2018-12-07,59900,A192080
80,2018-12-10,56900,A192080
81,2018-12-11,56300,A192080
82,2018-12-12,56600,A192080
83,2018-12-13,58300,A192080
84,2018-12-14,56700,A192080
85,2018-12-17,57300,A192080
86,2018-12-18,56400,A192080
87,2018-12-19,60400,A192080
88,2018-12-20,60200,A192080
89,2018-12-21,61100,A192080
90,2018-12-24,61000,A192080
91,2018-12-26,60900,A192080
92,2018-12-27,59300,A192080
93,2018-12-28,59800,A192080
94,2019-01-02,57100,A192080
95,2019-01-03,56600,A192080
96,2019-01-04,57600,A192080
97,2019-01-07,57700,A192080
98,2019-01-08,56300,A192080
