,date,close_price,code
0,2021-08-10,454000,A259960
1,2021-08-11,407000,A259960
2,2021-08-12,406000,A259960
3,2021-08-13,437000,A259960
4,2021-08-17,451500,A259960
5,2021-08-18,469000,A259960
6,2021-08-19,492500,A259960
7,2021-08-20,491500,A259960
8,2021-08-23,484500,A259960
9,2021-08-24,460000,A259960
10,2021-08-25,451000,A259960
11,2021-08-26,469500,A259960
12,2021-08-27,497000,A259960
13,2021-08-30,497000,A259960
14,2021-08-31,491500,A259960
15,2021-09-01,507000,A259960
16,2021-09-02,491500,A259960
17,2021-09-03,509000,A259960
18,2021-09-06,482500,A259960
19,2021-09-07,464500,A259960
20,2021-09-08,483500,A259960
21,2021-09-09,475000,A259960
22,2021-09-10,447000,A259960
23,2021-09-13,451500,A259960
24,2021-09-14,478000,A259960
25,2021-09-15,493500,A259960
26,2021-09-16,492000,A259960
27,2021-09-17,493500,A259960
28,2021-09-23,500000,A259960
29,2021-09-24,493000,A259960
30,2021-09-27,498000,A259960
31,2021-09-28,500000,A259960
32,2021-09-29,500000,A259960
33,2021-09-30,502000,A259960
34,2021-10-01,498000,A259960
35,2021-10-05,463000,A259960
36,2021-10-06,454000,A259960
37,2021-10-07,474000,A259960
38,2021-10-08,470000,A259960
39,2021-10-12,484000,A259960
40,2021-10-13,488000,A259960
41,2021-10-14,478500,A259960
42,2021-10-15,472500,A259960
43,2021-10-18,486000,A259960
44,2021-10-19,493500,A259960
45,2021-10-20,487000,A259960
46,2021-10-21,493000,A259960
47,2021-10-22,488000,A259960
48,2021-10-25,488000,A259960
49,2021-10-26,498000,A259960
50,2021-10-27,489500,A259960
51,2021-10-28,475000,A259960
52,2021-10-29,469500,A259960
53,2021-11-01,478000,A259960
54,2021-11-02,483500,A259960
55,2021-11-03,472000,A259960
56,2021-11-04,468000,A259960
57,2021-11-05,451000,A259960
58,2021-11-08,441500,A259960
59,2021-11-09,465500,A259960
60,2021-11-10,484500,A259960
61,2021-11-11,540000,A259960
62,2021-11-12,547000,A259960
63,2021-11-15,548000,A259960
64,2021-11-16,547000,A259960
65,2021-11-17,567000,A259960
66,2021-11-18,543000,A259960
67,2021-11-19,542000,A259960
68,2021-11-22,516000,A259960
69,2021-11-23,505000,A259960
