,date,close_price,code
0,2018-08-10,47520,A263750
1,2018-08-13,47380,A263750
2,2018-08-14,49280,A263750
3,2018-08-16,47560,A263750
4,2018-08-17,48100,A263750
5,2018-08-20,47140,A263750
6,2018-08-21,48840,A263750
7,2018-08-22,49000,A263750
8,2018-08-23,49740,A263750
9,2018-08-24,49740,A263750
10,2018-08-27,50800,A263750
11,2018-08-28,50600,A263750
12,2018-08-29,51400,A263750
13,2018-08-30,50980,A263750
14,2018-08-31,51000,A263750
15,2018-09-03,48000,A263750
16,2018-09-04,47280,A263750
17,2018-09-05,46020,A263750
18,2018-09-06,46660,A263750
19,2018-09-07,48560,A263750
20,2018-09-10,49440,A263750
21,2018-09-11,49360,A263750
22,2018-09-12,47900,A263750
23,2018-09-13,46380,A263750
24,2018-09-14,44100,A263750
25,2018-09-17,44400,A263750
26,2018-09-18,44240,A263750
27,2018-09-19,43860,A263750
28,2018-09-20,43820,A263750
29,2018-09-21,44680,A263750
30,2018-09-27,43560,A263750
31,2018-09-28,42760,A263750
32,2018-10-01,42800,A263750
33,2018-10-02,42800,A263750
34,2018-10-04,42600,A263750
35,2018-10-05,42580,A263750
36,2018-10-08,43900,A263750
37,2018-10-10,41820,A263750
38,2018-10-11,39480,A263750
39,2018-10-12,41340,A263750
40,2018-10-15,41100,A263750
41,2018-10-16,41380,A263750
42,2018-10-17,41680,A263750
43,2018-10-18,41400,A263750
44,2018-10-19,42600,A263750
45,2018-10-22,43000,A263750
46,2018-10-23,43520,A263750
47,2018-10-24,43000,A263750
48,2018-10-25,43560,A263750
49,2018-10-26,41800,A263750
50,2018-10-29,41520,A263750
51,2018-10-30,41260,A263750
52,2018-10-31,41120,A263750
53,2018-11-01,40420,A263750
54,2018-11-02,41300,A263750
55,2018-11-05,40020,A263750
56,2018-11-06,40320,A263750
57,2018-11-07,39400,A263750
58,2018-11-08,41000,A263750
59,2018-11-09,41500,A263750
60,2018-11-12,37240,A263750
61,2018-11-13,36980,A263750
62,2018-11-14,37340,A263750
63,2018-11-15,37820,A263750
64,2018-11-16,37680,A263750
65,2018-11-19,37460,A263750
66,2018-11-20,37640,A263750
67,2018-11-21,36960,A263750
68,2018-11-22,36620,A263750
69,2018-11-23,36720,A263750
70,2018-11-26,38860,A263750
71,2018-11-27,39180,A263750
72,2018-11-28,39400,A263750
73,2018-11-29,39400,A263750
74,2018-11-30,38400,A263750
75,2018-12-03,38660,A263750
76,2018-12-04,38800,A263750
77,2018-12-05,37840,A263750
78,2018-12-06,38000,A263750
79,2018-12-07,37220,A263750
80,2018-12-10,34400,A263750
81,2018-12-11,34940,A263750
82,2018-12-12,36400,A263750
83,2018-12-13,37360,A263750
84,2018-12-14,36260,A263750
85,2018-12-17,35560,A263750
86,2018-12-18,35780,A263750
87,2018-12-19,37000,A263750
88,2018-12-20,38000,A263750
89,2018-12-21,40580,A263750
90,2018-12-24,41600,A263750
91,2018-12-26,40880,A263750
92,2018-12-27,40360,A263750
93,2018-12-28,41580,A263750
94,2019-01-02,40660,A263750
95,2019-01-03,40600,A263750
96,2019-01-04,39800,A263750
97,2019-01-07,41000,A263750
98,2019-01-08,39920,A263750
99,2019-01-09,42380,A263750
100,2019-01-10,41220,A263750
101,2019-01-11,40660,A263750
102,2019-01-14,39060,A263750
