,date,close_price,code
0,2018-08-10,11289,A244580
1,2018-08-13,10770,A244580
2,2018-08-14,10875,A244580
3,2018-08-16,10640,A244580
4,2018-08-17,11159,A244580
5,2018-08-20,11239,A244580
6,2018-08-21,11628,A244580
7,2018-08-22,11519,A244580
8,2018-08-23,11713,A244580
9,2018-08-24,11983,A244580
10,2018-08-27,12167,A244580
11,2018-08-28,12078,A244580
12,2018-08-29,12202,A244580
13,2018-08-30,12192,A244580
14,2018-08-31,12617,A244580
15,2018-09-03,12761,A244580
16,2018-09-04,12916,A244580
17,2018-09-05,12631,A244580
18,2018-09-06,12527,A244580
19,2018-09-07,12607,A244580
20,2018-09-10,12477,A244580
21,2018-09-11,12641,A244580
22,2018-09-12,12901,A244580
23,2018-09-13,12881,A244580
24,2018-09-14,13041,A244580
25,2018-09-17,13001,A244580
26,2018-09-18,13345,A244580
27,2018-09-19,13245,A244580
28,2018-09-20,13250,A244580
29,2018-09-21,13295,A244580
30,2018-09-27,13495,A244580
31,2018-09-28,13230,A244580
32,2018-10-01,12831,A244580
33,2018-10-02,12297,A244580
34,2018-10-04,12382,A244580
35,2018-10-05,11933,A244580
36,2018-10-08,11813,A244580
37,2018-10-10,11553,A244580
38,2018-10-11,10960,A244580
39,2018-10-12,11319,A244580
40,2018-10-15,10965,A244580
41,2018-10-16,11169,A244580
42,2018-10-17,11279,A244580
43,2018-10-18,11114,A244580
44,2018-10-19,11369,A244580
45,2018-10-22,11474,A244580
46,2018-10-23,10870,A244580
47,2018-10-24,10600,A244580
48,2018-10-25,10431,A244580
49,2018-10-26,9956,A244580
50,2018-10-29,9393,A244580
51,2018-10-30,9697,A244580
52,2018-10-31,9682,A244580
53,2018-11-01,9782,A244580
54,2018-11-02,10421,A244580
55,2018-11-05,10710,A244580
56,2018-11-06,10845,A244580
57,2018-11-07,10730,A244580
58,2018-11-08,10810,A244580
59,2018-11-09,10505,A244580
60,2018-11-12,10021,A244580
61,2018-11-13,10301,A244580
62,2018-11-14,10351,A244580
63,2018-11-15,10366,A244580
64,2018-11-16,10675,A244580
65,2018-11-19,10965,A244580
66,2018-11-20,10970,A244580
67,2018-11-21,11094,A244580
68,2018-11-22,10905,A244580
69,2018-11-23,10660,A244580
70,2018-11-26,10945,A244580
71,2018-11-27,11014,A244580
72,2018-11-28,10935,A244580
73,2018-11-29,10805,A244580
74,2018-11-30,10845,A244580
75,2018-12-03,11074,A244580
76,2018-12-04,11014,A244580
77,2018-12-05,10880,A244580
78,2018-12-06,10461,A244580
79,2018-12-07,10550,A244580
80,2018-12-10,10341,A244580
81,2018-12-11,10181,A244580
82,2018-12-12,10495,A244580
83,2018-12-13,10540,A244580
84,2018-12-14,10221,A244580
85,2018-12-17,10061,A244580
86,2018-12-18,10061,A244580
87,2018-12-19,10306,A244580
88,2018-12-20,10156,A244580
89,2018-12-21,10361,A244580
90,2018-12-24,10291,A244580
91,2018-12-26,10251,A244580
92,2018-12-27,10436,A244580
93,2018-12-28,10650,A244580
94,2019-01-02,10555,A244580
95,2019-01-03,10186,A244580
96,2019-01-04,10565,A244580
97,2019-01-07,10535,A244580
98,2019-01-08,10471,A244580
99,2019-01-09,10535,A244580
100,2019-01-10,10520,A244580
101,2019-01-11,10495,A244580
102,2019-01-14,10341,A244580
103,2019-01-15,10386,A244580
104,2019-01-16,10286,A244580
105,2019-01-17,10256,A244580
106,2019-01-18,10381,A244580
107,2019-01-21,10276,A244580
108,2019-01-22,10326,A244580
109,2019-01-23,10261,A244580
110,2019-01-24,10545,A244580
111,2019-01-25,10605,A244580
112,2019-01-28,10710,A244580
113,2019-01-29,10615,A244580
114,2019-01-30,10670,A244580
115,2019-01-31,10870,A244580
116,2019-02-01,10795,A244580
117,2019-02-07,10845,A244580
118,2019-02-08,11010,A244580
119,2019-02-11,11329,A244580
120,2019-02-12,11189,A244580
121,2019-02-13,11319,A244580
122,2019-02-14,11294,A244580
123,2019-02-15,11184,A244580
124,2019-02-18,11379,A244580
125,2019-02-19,11459,A244580
126,2019-02-20,11424,A244580
127,2019-02-21,11369,A244580
128,2019-02-22,11244,A244580
129,2019-02-25,11239,A244580
130,2019-02-26,11239,A244580
131,2019-02-27,11489,A244580
132,2019-02-28,11524,A244580
133,2019-03-04,12018,A244580
134,2019-03-05,12053,A244580
135,2019-03-06,11928,A244580
136,2019-03-07,11608,A244580
137,2019-03-08,11728,A244580
138,2019-03-11,11773,A244580
139,2019-03-12,12023,A244580
140,2019-03-13,12132,A244580
141,2019-03-14,11988,A244580
142,2019-03-15,11808,A244580
143,2019-03-18,11768,A244580
144,2019-03-19,11593,A244580
145,2019-03-20,11668,A244580
146,2019-03-21,11399,A244580
147,2019-03-22,11324,A244580
148,2019-03-25,11044,A244580
149,2019-03-26,11219,A244580
150,2019-03-27,10960,A244580
151,2019-03-28,10830,A244580
152,2019-03-29,10995,A244580
153,2019-04-01,10960,A244580
154,2019-04-02,10895,A244580
155,2019-04-03,11129,A244580
156,2019-04-04,11039,A244580
157,2019-04-05,10910,A244580
158,2019-04-08,10880,A244580
159,2019-04-09,10870,A244580
160,2019-04-10,11010,A244580
161,2019-04-11,11094,A244580
162,2019-04-12,11119,A244580
163,2019-04-15,11079,A244580
164,2019-04-16,11084,A244580
165,2019-04-17,11024,A244580
166,2019-04-18,10800,A244580
167,2019-04-19,10985,A244580
168,2019-04-22,11049,A244580
169,2019-04-23,10950,A244580
170,2019-04-24,10870,A244580
171,2019-04-25,10765,A244580
172,2019-04-26,10745,A244580
173,2019-04-29,10860,A244580
174,2019-04-30,10875,A244580
175,2019-05-02,10835,A244580
176,2019-05-03,10875,A244580
177,2019-05-07,10680,A244580
178,2019-05-08,10490,A244580
179,2019-05-09,10210,A244580
180,2019-05-10,10125,A244580
181,2019-05-13,9805,A244580
182,2019-05-14,9895,A244580
183,2019-05-15,10195,A244580
184,2019-05-16,9975,A244580
185,2019-05-17,9810,A244580
186,2019-05-20,9500,A244580
187,2019-05-21,9550,A244580
188,2019-05-22,9750,A244580
189,2019-05-23,9605,A244580
190,2019-05-24,9560,A244580
191,2019-05-27,9525,A244580
192,2019-05-28,9725,A244580
193,2019-05-29,9400,A244580
194,2019-05-30,9355,A244580
195,2019-05-31,9530,A244580
196,2019-06-03,9555,A244580
197,2019-06-04,9585,A244580
198,2019-06-05,9505,A244580
199,2019-06-07,9550,A244580
200,2019-06-10,9635,A244580
201,2019-06-11,9745,A244580
202,2019-06-12,9670,A244580
203,2019-06-13,9720,A244580
204,2019-06-14,9585,A244580
205,2019-06-17,9410,A244580
206,2019-06-18,9280,A244580
207,2019-06-19,9340,A244580
208,2019-06-20,9575,A244580
209,2019-06-21,9470,A244580
210,2019-06-24,9375,A244580
211,2019-06-25,9210,A244580
212,2019-06-26,9240,A244580
213,2019-06-27,8845,A244580
214,2019-06-28,8700,A244580
215,2019-07-01,9000,A244580
216,2019-07-02,8985,A244580
217,2019-07-03,8940,A244580
218,2019-07-04,8720,A244580
219,2019-07-05,8975,A244580
220,2019-07-08,8625,A244580
221,2019-07-09,8340,A244580
222,2019-07-10,8490,A244580
223,2019-07-11,8590,A244580
224,2019-07-12,8530,A244580
225,2019-07-15,8470,A244580
226,2019-07-16,8590,A244580
227,2019-07-17,8540,A244580
228,2019-07-18,8435,A244580
229,2019-07-19,8605,A244580
230,2019-07-22,8595,A244580
231,2019-07-23,8515,A244580
232,2019-07-24,8380,A244580
233,2019-07-25,8260,A244580
234,2019-07-26,8120,A244580
235,2019-07-29,7810,A244580
236,2019-07-30,7865,A244580
237,2019-07-31,7975,A244580
238,2019-08-01,8000,A244580
239,2019-08-02,7775,A244580
240,2019-08-05,6915,A244580
241,2019-08-06,6655,A244580
242,2019-08-07,6795,A244580
243,2019-08-08,7045,A244580
244,2019-08-09,7045,A244580
245,2019-08-12,7110,A244580
246,2019-08-13,7040,A244580
247,2019-08-14,7120,A244580
248,2019-08-16,7025,A244580
249,2019-08-19,7100,A244580
250,2019-08-20,7330,A244580
251,2019-08-21,7515,A244580
252,2019-08-22,7480,A244580
253,2019-08-23,7365,A244580
254,2019-08-26,6960,A244580
255,2019-08-27,7010,A244580
256,2019-08-28,7450,A244580
257,2019-08-29,7470,A244580
258,2019-08-30,7600,A244580
