,date,close_price,code
0,2018-08-10,34011,A181710
1,2018-08-13,32602,A181710
2,2018-08-14,32081,A181710
3,2018-08-16,31716,A181710
4,2018-08-17,32081,A181710
5,2018-08-20,31924,A181710
6,2018-08-21,31768,A181710
7,2018-08-22,31403,A181710
8,2018-08-23,31507,A181710
9,2018-08-24,32133,A181710
10,2018-08-27,32498,A181710
11,2018-08-28,32185,A181710
12,2018-08-29,31924,A181710
13,2018-08-30,31924,A181710
14,2018-08-31,31455,A181710
15,2018-09-03,31403,A181710
16,2018-09-04,31455,A181710
17,2018-09-05,31142,A181710
18,2018-09-06,30933,A181710
19,2018-09-07,31037,A181710
20,2018-09-10,31559,A181710
21,2018-09-11,31507,A181710
22,2018-09-12,31559,A181710
23,2018-09-13,31924,A181710
24,2018-09-14,31976,A181710
25,2018-09-17,32133,A181710
26,2018-09-18,32029,A181710
27,2018-09-19,31924,A181710
28,2018-09-20,31924,A181710
29,2018-09-21,31663,A181710
30,2018-09-27,31559,A181710
31,2018-09-28,31924,A181710
32,2018-10-01,31611,A181710
33,2018-10-02,31298,A181710
34,2018-10-04,30411,A181710
35,2018-10-05,30829,A181710
36,2018-10-08,30829,A181710
37,2018-10-10,29994,A181710
38,2018-10-11,28325,A181710
39,2018-10-12,27751,A181710
40,2018-10-15,27386,A181710
41,2018-10-16,27438,A181710
42,2018-10-17,27908,A181710
43,2018-10-18,27490,A181710
44,2018-10-19,26656,A181710
45,2018-10-22,26499,A181710
46,2018-10-23,25821,A181710
47,2018-10-24,25378,A181710
48,2018-10-25,25091,A181710
49,2018-10-26,23735,A181710
50,2018-10-29,22117,A181710
51,2018-10-30,23317,A181710
52,2018-10-31,23917,A181710
53,2018-11-01,24621,A181710
54,2018-11-02,25143,A181710
55,2018-11-05,25091,A181710
56,2018-11-06,25195,A181710
57,2018-11-07,24334,A181710
58,2018-11-08,25482,A181710
59,2018-11-09,25743,A181710
60,2018-11-12,26812,A181710
61,2018-11-13,27595,A181710
62,2018-11-14,27647,A181710
63,2018-11-15,28377,A181710
64,2018-11-16,28534,A181710
65,2018-11-19,29003,A181710
66,2018-11-20,28429,A181710
67,2018-11-21,29890,A181710
68,2018-11-22,29733,A181710
69,2018-11-23,28638,A181710
70,2018-11-26,28951,A181710
71,2018-11-27,29473,A181710
72,2018-11-28,29681,A181710
73,2018-11-29,29577,A181710
74,2018-11-30,30098,A181710
75,2018-12-03,30307,A181710
76,2018-12-04,30151,A181710
77,2018-12-05,29681,A181710
78,2018-12-06,28638,A181710
79,2018-12-07,28690,A181710
80,2018-12-10,28690,A181710
81,2018-12-11,28951,A181710
82,2018-12-12,29003,A181710
83,2018-12-13,29890,A181710
84,2018-12-14,29994,A181710
85,2018-12-17,29838,A181710
86,2018-12-18,29368,A181710
87,2018-12-19,29733,A181710
88,2018-12-20,29212,A181710
89,2018-12-21,29577,A181710
90,2018-12-24,29890,A181710
91,2018-12-26,29055,A181710
92,2018-12-27,29733,A181710
93,2018-12-28,29890,A181710
94,2019-01-02,29890,A181710
95,2019-01-03,29942,A181710
96,2019-01-04,29629,A181710
97,2019-01-07,31246,A181710
98,2019-01-08,30985,A181710
99,2019-01-09,31663,A181710
100,2019-01-10,31298,A181710
101,2019-01-11,31716,A181710
102,2019-01-14,31559,A181710
103,2019-01-15,31194,A181710
104,2019-01-16,31298,A181710
105,2019-01-17,32342,A181710
106,2019-01-18,31976,A181710
107,2019-01-21,31037,A181710
108,2019-01-22,31403,A181710
109,2019-01-23,30933,A181710
110,2019-01-24,30724,A181710
111,2019-01-25,30933,A181710
112,2019-01-28,30724,A181710
113,2019-01-29,30933,A181710
114,2019-01-30,30568,A181710
115,2019-01-31,30777,A181710
116,2019-02-01,35211,A181710
117,2019-02-07,35576,A181710
118,2019-02-08,35263,A181710
119,2019-02-11,33489,A181710
120,2019-02-12,32602,A181710
121,2019-02-13,33593,A181710
122,2019-02-14,37610,A181710
123,2019-02-15,37662,A181710
124,2019-02-18,38862,A181710
125,2019-02-19,39279,A181710
126,2019-02-20,39279,A181710
127,2019-02-21,38497,A181710
